inferred_type,title,address,placeId,maps_url
ATM,Bankamatik Yapıkredi,"Kurtuluş, Ziya Paşa Cd. No:9, 26090 Odunpazarı/Eskişehir, Türkiye",ChIJQ2TLwAEWzBQR0JeLIlRLwfY,https://www.google.com/maps/search/?api=1&query=Bankamatik%20Yap%C4%B1kredi&query_place_id=ChIJQ2TLwAEWzBQR0JeLIlRLwfY
ATM,Haramidere Yapıkredi Atm,"Güzelyurt, 2112. Sk No:1, 34515 Esenyurt/İstanbul, Türkiye",ChIJkeKJ8XtftRQRzxMJz2fkO3w,https://www.google.com/maps/search/?api=1&query=Haramidere%20Yap%C4%B1kredi%20Atm&query_place_id=ChIJkeKJ8XtftRQRzxMJz2fkO3w
ATM,Karaköy Palas Yapı Kredi,"Müeyyetzade, Kadem Sk. No:33, 34425 Beyoğlu/İstanbul, Türkiye",ChIJV6J5YN25yhQRxlww0yKobfM,https://www.google.com/maps/search/?api=1&query=Karak%C3%B6y%20Palas%20Yap%C4%B1%20Kredi&query_place_id=ChIJV6J5YN25yhQRxlww0yKobfM
ATM,Taşkörü Yapıkredi Atm,"Karasait, Atatürk Cd. No:8, 37400 Taşköprü/Kastamonu, Türkiye",ChIJh_GExt6ohUARy5zDPsGGhtc,https://www.google.com/maps/search/?api=1&query=Ta%C5%9Fk%C3%B6r%C3%BC%20Yap%C4%B1kredi%20Atm&query_place_id=ChIJh_GExt6ohUARy5zDPsGGhtc
ATM,YAPI KREDI ATM,"Aşık Veysel, Esenkent-Bahçeşehir Yolu No:14, 34510 Esenyurt/İstanbul, Türkiye",ChIJPYw_6p1YtRQR756fJoPMfHY,https://www.google.com/maps/search/?api=1&query=YAPI%20KREDI%20ATM&query_place_id=ChIJPYw_6p1YtRQR756fJoPMfHY
ATM,YAPI KREDİ,"Cumhuriyet, 35485 Seferihisar/İzmir, Türkiye",ChIJfUpNaqT3uxQRVb3YR0E9bYM,https://www.google.com/maps/search/?api=1&query=YAPI%20KRED%C4%B0&query_place_id=ChIJfUpNaqT3uxQRVb3YR0E9bYM
ATM,YAPI KREDİ ATM,"Demetgül, 417. Sk. No:48, 06200 Yenimahalle/Ankara, Türkiye",ChIJGfEvJj9J0xQRp8TWUMfCmqU,https://www.google.com/maps/search/?api=1&query=YAPI%20KRED%C4%B0%20ATM&query_place_id=ChIJGfEvJj9J0xQRp8TWUMfCmqU
ATM,YAPI KREDİ ATM,"Zafer, Hürriyet Cd. No:178, 09800 Nazilli/Aydın, Türkiye",ChIJOXyJMse4uBQRo_UXqCbXV_A,https://www.google.com/maps/search/?api=1&query=YAPI%20KRED%C4%B0%20ATM&query_place_id=ChIJOXyJMse4uBQRo_UXqCbXV_A
ATM,YAPI KREDİ ATM,"Kiremitli, Atatürk Cd., 07800 Korkuteli/Antalya, Türkiye",ChIJPeUI2gT9wxQRaGr-wV5E0Wc,https://www.google.com/maps/search/?api=1&query=YAPI%20KRED%C4%B0%20ATM&query_place_id=ChIJPeUI2gT9wxQRaGr-wV5E0Wc
ATM,YAPI KREDİ BANKASI,"Karşıyaka, Sakarya Blv. No:300, 07210 Kepez/Antalya, Türkiye",ChIJOxX0uYiPwxQRtGe-sApbou8,https://www.google.com/maps/search/?api=1&query=YAPI%20KRED%C4%B0%20BANKASI&query_place_id=ChIJOxX0uYiPwxQRtGe-sApbou8
ATM,YAPIKREDİ ATM,"Emek, 26080 Odunpazarı/Eskişehir, Türkiye",ChIJ0_s8Vqo9zBQRLUokX_WLzgQ,https://www.google.com/maps/search/?api=1&query=YAPIKRED%C4%B0%20ATM&query_place_id=ChIJ0_s8Vqo9zBQRLUokX_WLzgQ
ATM,YAPIKREDİ BANKASI ATM,"Çarşı Önünde, Eryaman, 4. Etap, 06824 Etimesgut/Ankara, Türkiye",ChIJIanST1Ax0xQRzY9x0tE4R1g,https://www.google.com/maps/search/?api=1&query=YAPIKRED%C4%B0%20BANKASI%20ATM&query_place_id=ChIJIanST1Ax0xQRzY9x0tE4R1g
ATM,YKB ATM,"Gümüsçesme, 252. Sk. 1-13 B, 10040 Balıkesir Merkez/Balıkesir, Türkiye",ChIJf6k9MwUAtxQR6QEmcYX3QbI,https://www.google.com/maps/search/?api=1&query=YKB%20ATM&query_place_id=ChIJf6k9MwUAtxQR6QEmcYX3QbI
ATM,YKB Atm,"Efeler, Atatürk Blv. No:154, 09270 Didim/Aydın, Türkiye",ChIJw9FtvbyHvhQRik5--XneMNo,https://www.google.com/maps/search/?api=1&query=YKB%20Atm&query_place_id=ChIJw9FtvbyHvhQRik5--XneMNo
ATM,YKB Bankamatik,"Semerciler, Kudüs Cd. No:52, 54100 Adapazarı/Sakarya, Türkiye",ChIJMzNpNimzzBQRGKf19HnTYRE,https://www.google.com/maps/search/?api=1&query=YKB%20Bankamatik&query_place_id=ChIJMzNpNimzzBQRGKf19HnTYRE
ATM,YapIKredi,"Beşikkaya, Orhan Kemal Cd. No:319, 06360 Altındağ/Ankara, Türkiye",ChIJVRQAaABT0xQRJMK4PflDuJI,https://www.google.com/maps/search/?api=1&query=YapIKredi&query_place_id=ChIJVRQAaABT0xQRJMK4PflDuJI
ATM,Yapi Kredi,"Şeyh Şamil, Doç. Dr. Halil Ürün Cd., 42250 Selçuklu/Konya, Türkiye",ChIJMWR9_VmO0BQR7QWyeZLRQF8,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi&query_place_id=ChIJMWR9_VmO0BQR7QWyeZLRQF8
ATM,Yapi Kredi,"Yurt, Şair hasibehatun Cd No:25, 01170 Çukurova/Adana, Türkiye",ChIJBZh1ATCJKBURZ7SO6BgdFdI,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi&query_place_id=ChIJBZh1ATCJKBURZ7SO6BgdFdI
ATM,Yapi Kredi,"Saraylar, 500/1. Sk., 20010 Denizli Merkezefendi/Denizli, Türkiye",ChIJvakmH7E_xxQRhzXGGyR1t78,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi&query_place_id=ChIJvakmH7E_xxQRhzXGGyR1t78
ATM,Yapi Kredi,"Gökmedrese, 05100 Amasya Merkez/Amasya, Türkiye",ChIJ3aP8d1Fuh0ARqjQQr414MrE,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi&query_place_id=ChIJ3aP8d1Fuh0ARqjQQr414MrE
ATM,Yapi Kredi,"Gevhernesibe, 38010 Kocasinan/Kayseri, Türkiye",ChIJJ8323wMSKxURbOwXGEesZLA,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi&query_place_id=ChIJJ8323wMSKxURbOwXGEesZLA
ATM,Yapi Kredi,"Göksu, Altınova Cd., 07260 Kepez/Antalya, Türkiye",ChIJVZkc7aeFwxQREUUekLDO1zM,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi&query_place_id=ChIJVZkc7aeFwxQREUUekLDO1zM
ATM,Yapi Kredi,"Ragıp Bey, 45200 Akhisar/Manisa, Türkiye",ChIJt-BGaAPSuRQRxrHt5AP6xss,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi&query_place_id=ChIJt-BGaAPSuRQRxrHt5AP6xss
ATM,Yapi Kredi,"Küçükyalı, Bağdat Cad. No:123, 34840 Maltepe/İstanbul, Türkiye",ChIJkSvhx-_GyhQRf1XJj_o_1bs,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi&query_place_id=ChIJkSvhx-_GyhQRf1XJj_o_1bs
ATM,Yapi Kredi,"Atatürk, Mithat Vardar Cd., 22030 Edirne Merkez/Edirne, Türkiye",ChIJ2RDp7OkvsxQRPlYZIjK66gQ,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi&query_place_id=ChIJ2RDp7OkvsxQRPlYZIjK66gQ
ATM,Yapi Kredi ATM,"Osmanağa, 34714 Kadıköy/İstanbul, Türkiye",ChIJvUXEkZa5yhQRhvfi902iL_4,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20ATM&query_place_id=ChIJvUXEkZa5yhQRhvfi902iL_4
ATM,Yapi Kredi AtM,"Çırpan, 1. Durak Sk. No:1, 16050 Osmangazi̇/Bursa, Türkiye",ChIJ1YQlfwU-yhQR2CD7Kogg4OQ,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20AtM&query_place_id=ChIJ1YQlfwU-yhQR2CD7Kogg4OQ
ATM,Yapi Kredi Atm,"Yeni, Prof. Dr. Yaşar Uçar Cd. No:1, 07500 Serik/Antalya, Türkiye",ChIJ3SQC0pViwxQRsu1caquf_vY,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20Atm&query_place_id=ChIJ3SQC0pViwxQRsu1caquf_vY
ATM,Yapi Kredi Atm,"Uluçınar, İskenderun Arsuz Yolu No:32, 31285 Arsuz/İskenderun/Hatay, Türkiye",ChIJw2b1r_QJJhUR2C3gIRmsmto,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20Atm&query_place_id=ChIJw2b1r_QJJhUR2C3gIRmsmto
ATM,Yapi Kredi Atm,"Çarşı, Belediye Cd. No:11, 28500 Tirebolu/Giresun, Türkiye",ChIJdSuaO6GDY0ARIEJEeq0jAvY,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20Atm&query_place_id=ChIJdSuaO6GDY0ARIEJEeq0jAvY
ATM,Yapi Kredi Atm,"16 Eylül, 3011. Sk. No:1, 35930 Çeşme/İzmir, Türkiye",ChIJM7N5RDF6uxQRS1le7SqOb84,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20Atm&query_place_id=ChIJM7N5RDF6uxQRS1le7SqOb84
ATM,Yapi Kredi Atm,"Rüzgarlıbahçe, Yavuz Sultan Selim Cd., 34805 Beykoz/İstanbul, Türkiye",ChIJXydm4LTLyhQRZaPCqYdpL_w,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20Atm&query_place_id=ChIJXydm4LTLyhQRZaPCqYdpL_w
ATM,Yapi Kredi Atm,"Arapzade, Yalova Cd. No:83, 16800 Orhangazi̇/Bursa, Türkiye",ChIJp8VsqKf4yhQRCGjPbButNJc,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20Atm&query_place_id=ChIJp8VsqKf4yhQRCGjPbButNJc
ATM,Yapi Kredi Atm,"Güzelyurt, Yıldırım Beyazıt Cd., 34515 Esenyurt/İstanbul, Türkiye",ChIJDT0ri3tftRQRDfDTZ0CeYjM,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20Atm&query_place_id=ChIJDT0ri3tftRQRDfDTZ0CeYjM
ATM,Yapi Kredi Atm,"Beylerbeyi, Arabacılar Sk. 8 B, 34676 Üsküdar/İstanbul, Türkiye",ChIJ-yESPNa3yhQRLJUP_E6KWmM,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20Atm&query_place_id=ChIJ-yESPNa3yhQRLJUP_E6KWmM
ATM,Yapi Kredi Atm,"Arda, 45020 Şehzadeler/Manisa, Türkiye",ChIJCWixa2icuRQRxKdYF3NIP_k,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20Atm&query_place_id=ChIJCWixa2icuRQRxKdYF3NIP_k
ATM,Yapi Kredi Atm,"Zafer, Namık Kemal Cd., 16270 Osmangazi̇/Bursa, Türkiye",ChIJ04OuGm4-yhQROCOEmlkVfAY,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20Atm&query_place_id=ChIJ04OuGm4-yhQROCOEmlkVfAY
ATM,Yapi Kredi Atm,"Çiftehavuzlar, 2. Kanal Cd. No:102, 16200 Osmangazi̇/Bursa, Türkiye",ChIJR3lEpB8-yhQRRUDSA54OYIc,https://www.google.com/maps/search/?api=1&query=Yapi%20Kredi%20Atm&query_place_id=ChIJR3lEpB8-yhQRRUDSA54OYIc
